Vardas               Pavarde             ND1                 ND2                 ND3                 ND4                 ND5                 ND6                 Egzaminas            

Vardas5262           Pavarde5262         4                   6                   3                   8                   1                   5                   3                    

Vardas5263           Pavarde5263         6                   1                   7                   1                   2                   8                   8                    

Vardas5264           Pavarde5264         10                  4                   7                   9                   8                   6                   6                    

Vardas5265           Pavarde5265         6                   6                   1                   7                   8                   10                  5                    

Vardas5266           Pavarde5266         2                   2                   7                   5                   5                   2                   4                    

Vardas5267           Pavarde5267         3                   5                   2                   8                   1                   2                   9                    

Vardas5268           Pavarde5268         10                  9                   9                   4                   2                   8                   7                    

Vardas5269           Pavarde5269         10                  4                   2                   9                   10                  3                   8                    

Vardas5270           Pavarde5270         1                   2                   1                   4                   5                   8                   4                    

Vardas5271           Pavarde5271         9                   10                  7                   7                   7                   4                   7                    

Vardas5272           Pavarde5272         9                   5                   2                   8                   4                   8                   7                    

Vardas5273           Pavarde5273         7                   2                   3                   6                   2                   8                   2                    

Vardas5274           Pavarde5274         9                   6                   6                   6                   10                  7                   3                    

Vardas5275           Pavarde5275         3                   1                   4                   6                   4                   5                   1                    

Vardas5276           Pavarde5276         9                   3                   7                   5                   4                   1                   1                    

Vardas5277           Pavarde5277         9                   10                  2                   6                   5                   2                   4                    

Vardas5278           Pavarde5278         10                  9                   8                   4                   10                  2                   1                    

Vardas5279           Pavarde5279         5                   1                   2                   8                   8                   5                   7                    

Vardas5280           Pavarde5280         4                   8                   2                   1                   4                   6                   9                    

Vardas5281           Pavarde5281         10                  7                   2                   9                   8                   1                   10                   

Vardas5282           Pavarde5282         7                   5                   10                  5                   6                   9                   3                    

Vardas5283           Pavarde5283         3                   6                   3                   4                   3                   1                   5                    

Vardas5284           Pavarde5284         3                   5                   8                   7                   6                   5                   5                    

Vardas5285           Pavarde5285         2                   10                  6                   2                   6                   6                   1                    

Vardas5286           Pavarde5286         2                   7                   5                   3                   1                   1                   8                    

Vardas5287           Pavarde5287         6                   3                   4                   3                   6                   4                   1                    

Vardas5288           Pavarde5288         2                   10                  7                   1                   5                   4                   7                    

Vardas5289           Pavarde5289         2                   5                   2                   3                   7                   6                   5                    

Vardas5290           Pavarde5290         5                   5                   3                   10                  4                   3                   2                    

Vardas5291           Pavarde5291         10                  8                   2                   3                   10                  7                   7                    

Vardas5292           Pavarde5292         3                   4                   5                   10                  1                   4                   1                    

Vardas5293           Pavarde5293         1                   9                   2                   1                   2                   4                   10                   

Vardas5294           Pavarde5294         2                   4                   1                   5                   6                   4                   2                    

Vardas5295           Pavarde5295         8                   1                   3                   3                   2                   10                  3                    

Vardas5296           Pavarde5296         2                   5                   8                   6                   8                   1                   10                   

Vardas5297           Pavarde5297         1                   8                   3                   6                   2                   5                   5                    

Vardas5298           Pavarde5298         6                   2                   9                   2                   9                   2                   8                    

Vardas5299           Pavarde5299         5                   2                   9                   5                   3                   6                   5                    

Vardas5300           Pavarde5300         4                   2                   8                   10                  5                   8                   9                    

Vardas5301           Pavarde5301         5                   4                   6                   5                   4                   1                   2                    

Vardas5302           Pavarde5302         7                   8                   9                   5                   10                  7                   3                    

Vardas5303           Pavarde5303         9                   5                   1                   4                   9                   5                   8                    

Vardas5304           Pavarde5304         4                   10                  1                   5                   5                   5                   7                    

Vardas5305           Pavarde5305         6                   6                   7                   7                   7                   7                   2                    

Vardas5306           Pavarde5306         9                   3                   8                   5                   1                   7                   8                    

Vardas5307           Pavarde5307         4                   1                   1                   4                   10                  3                   6                    

Vardas5308           Pavarde5308         8                   7                   7                   7                   4                   1                   1                    

Vardas5309           Pavarde5309         4                   6                   10                  10                  7                   5                   1                    

Vardas5310           Pavarde5310         3                   2                   8                   4                   1                   1                   1                    

Vardas5311           Pavarde5311         2                   3                   9                   8                   9                   1                   10                   

Vardas5312           Pavarde5312         10                  1                   2                   6                   2                   2                   9                    

Vardas5313           Pavarde5313         9                   1                   1                   3                   6                   1                   5                    

Vardas5314           Pavarde5314         8                   8                   6                   5                   2                   7                   1                    

Vardas5315           Pavarde5315         9                   4                   1                   9                   2                   6                   6                    

Vardas5316           Pavarde5316         4                   8                   9                   6                   1                   1                   4                    

Vardas5317           Pavarde5317         5                   9                   5                   5                   4                   3                   5                    

Vardas5318           Pavarde5318         1                   7                   1                   5                   1                   6                   5                    

Vardas5319           Pavarde5319         5                   4                   3                   8                   4                   10                  1                    

Vardas5320           Pavarde5320         8                   2                   7                   10                  7                   4                   5                    

Vardas5321           Pavarde5321         3                   3                   8                   5                   10                  1                   3                    

Vardas5322           Pavarde5322         10                  2                   1                   8                   5                   6                   8                    

Vardas5323           Pavarde5323         7                   10                  5                   2                   10                  1                   9                    

Vardas5324           Pavarde5324         5                   7                   9                   8                   2                   3                   8                    

Vardas5325           Pavarde5325         8                   8                   5                   8                   10                  1                   8                    

Vardas5326           Pavarde5326         5                   3                   1                   2                   5                   2                   6                    

Vardas5327           Pavarde5327         3                   3                   10                  10                  4                   4                   1                    

Vardas5328           Pavarde5328         2                   3                   9                   7                   3                   6                   9                    

Vardas5329           Pavarde5329         7                   10                  8                   8                   8                   5                   3                    

Vardas5330           Pavarde5330         4                   6                   1                   6                   6                   10                  3                    

Vardas5331           Pavarde5331         7                   4                   1                   5                   9                   4                   3                    

Vardas5332           Pavarde5332         4                   9                   9                   9                   10                  8                   6                    

Vardas5333           Pavarde5333         6                   7                   1                   7                   5                   10                  9                    

Vardas5334           Pavarde5334         4                   3                   4                   7                   8                   4                   9                    

Vardas5335           Pavarde5335         7                   10                  4                   8                   4                   8                   5                    

Vardas5336           Pavarde5336         9                   9                   3                   4                   2                   7                   3                    

Vardas5337           Pavarde5337         1                   10                  10                  9                   8                   7                   9                    

Vardas5338           Pavarde5338         10                  10                  9                   1                   1                   5                   4                    

Vardas5339           Pavarde5339         2                   7                   8                   2                   1                   4                   7                    

Vardas5340           Pavarde5340         10                  5                   1                   7                   1                   2                   7                    

Vardas5341           Pavarde5341         8                   9                   3                   4                   3                   6                   3                    

Vardas5342           Pavarde5342         4                   4                   9                   1                   7                   1                   8                    

Vardas5343           Pavarde5343         10                  6                   7                   3                   4                   1                   8                    

Vardas5344           Pavarde5344         2                   5                   2                   2                   3                   6                   2                    

Vardas5345           Pavarde5345         6                   10                  2                   7                   6                   2                   2                    

Vardas5346           Pavarde5346         2                   6                   8                   8                   9                   2                   9                    

Vardas5347           Pavarde5347         4                   10                  2                   4                   4                   10                  10                   

Vardas5348           Pavarde5348         10                  4                   4                   8                   1                   10                  6                    

Vardas5349           Pavarde5349         5                   2                   2                   1                   1                   1                   8                    

Vardas5350           Pavarde5350         5                   8                   4                   2                   9                   6                   8                    

Vardas5351           Pavarde5351         10                  9                   6                   5                   10                  10                  9                    

Vardas5352           Pavarde5352         6                   10                  8                   9                   7                   2                   6                    

Vardas5353           Pavarde5353         6                   9                   10                  6                   2                   7                   8                    

Vardas5354           Pavarde5354         5                   7                   7                   9                   1                   1                   9                    

Vardas5355           Pavarde5355         3                   9                   3                   5                   4                   2                   1                    

Vardas5356           Pavarde5356         5                   9                   3                   1                   1                   8                   9                    

Vardas5357           Pavarde5357         2                   4                   2                   4                   10                  2                   9                    

Vardas5358           Pavarde5358         9                   4                   6                   8                   10                  1                   5                    

Vardas5359           Pavarde5359         3                   9                   7                   10                  9                   10                  4                    

Vardas5360           Pavarde5360         2                   6                   5                   3                   10                  6                   1                    

Vardas5361           Pavarde5361         1                   8                   5                   1                   9                   9                   4                    

Vardas5362           Pavarde5362         3                   6                   5                   2                   9                   10                  4                    

Vardas5363           Pavarde5363         6                   8                   8                   5                   2                   6                   3                    

Vardas5364           Pavarde5364         10                  7                   1                   2                   8                   6                   1                    

Vardas5365           Pavarde5365         9                   8                   2                   10                  7                   9                   9                    

Vardas5366           Pavarde5366         7                   1                   7                   2                   3                   1                   10                   

Vardas5367           Pavarde5367         4                   3                   9                   1                   10                  10                  6                    

Vardas5368           Pavarde5368         9                   7                   9                   9                   10                  9                   1                    

Vardas5369           Pavarde5369         2                   4                   9                   1                   3                   3                   4                    

Vardas5370           Pavarde5370         8                   3                   2                   2                   2                   5                   10                   

Vardas5371           Pavarde5371         7                   1                   3                   10                  5                   3                   7                    

Vardas5372           Pavarde5372         5                   3                   2                   9                   6                   5                   1                    

Vardas5373           Pavarde5373         1                   3                   1                   7                   10                  8                   6                    

Vardas5374           Pavarde5374         7                   9                   1                   10                  9                   7                   6                    

Vardas5375           Pavarde5375         10                  7                   9                   8                   5                   7                   2                    

Vardas5376           Pavarde5376         7                   6                   10                  5                   7                   4                   7                    

Vardas5377           Pavarde5377         2                   8                   3                   7                   9                   4                   8                    

Vardas5378           Pavarde5378         1                   1                   6                   3                   8                   4                   10                   

Vardas5379           Pavarde5379         3                   3                   1                   7                   7                   2                   6                    

Vardas5380           Pavarde5380         6                   3                   1                   1                   8                   9                   4                    

Vardas5381           Pavarde5381         7                   2                   2                   4                   4                   9                   6                    

Vardas5382           Pavarde5382         1                   9                   3                   10                  3                   8                   9                    

Vardas5383           Pavarde5383         7                   4                   6                   8                   3                   3                   5                    

Vardas5384           Pavarde5384         4                   10                  9                   1                   3                   2                   6                    

Vardas5385           Pavarde5385         6                   2                   7                   1                   5                   4                   4                    

Vardas5386           Pavarde5386         10                  5                   9                   4                   6                   5                   2                    

Vardas5387           Pavarde5387         5                   8                   8                   4                   4                   7                   10                   

Vardas5388           Pavarde5388         9                   5                   4                   5                   7                   10                  4                    

Vardas5389           Pavarde5389         3                   4                   4                   2                   7                   10                  5                    

Vardas5390           Pavarde5390         7                   7                   10                  9                   5                   6                   8                    

Vardas5391           Pavarde5391         9                   7                   5                   8                   8                   4                   9                    

Vardas5392           Pavarde5392         2                   1                   7                   10                  6                   7                   7                    

Vardas5393           Pavarde5393         8                   3                   6                   8                   5                   10                  7                    

Vardas5394           Pavarde5394         2                   6                   2                   10                  5                   7                   9                    

Vardas5395           Pavarde5395         2                   8                   6                   9                   2                   3                   10                   

Vardas5396           Pavarde5396         8                   9                   8                   9                   7                   5                   2                    

Vardas5397           Pavarde5397         3                   7                   3                   2                   4                   9                   10                   

Vardas5398           Pavarde5398         4                   4                   1                   1                   6                   1                   8                    

Vardas5399           Pavarde5399         2                   3                   9                   4                   7                   1                   10                   

Vardas5400           Pavarde5400         4                   2                   1                   5                   4                   7                   10                   

Vardas5401           Pavarde5401         5                   8                   9                   9                   5                   6                   9                    

Vardas5402           Pavarde5402         10                  10                  8                   2                   9                   9                   9                    

Vardas5403           Pavarde5403         4                   5                   9                   7                   2                   3                   7                    

Vardas5404           Pavarde5404         6                   10                  6                   10                  5                   2                   10                   

Vardas5405           Pavarde5405         5                   2                   7                   10                  2                   10                  9                    

Vardas5406           Pavarde5406         7                   2                   3                   1                   6                   9                   2                    

Vardas5407           Pavarde5407         4                   1                   3                   9                   2                   1                   10                   

Vardas5408           Pavarde5408         7                   3                   8                   3                   5                   3                   10                   

Vardas5409           Pavarde5409         9                   4                   9                   1                   4                   10                  5                    

Vardas5410           Pavarde5410         8                   1                   2                   7                   9                   1                   8                    

Vardas5411           Pavarde5411         4                   6                   6                   7                   4                   5                   3                    

Vardas5412           Pavarde5412         9                   4                   2                   3                   2                   1                   9                    

Vardas5413           Pavarde5413         10                  10                  8                   8                   8                   10                  8                    

Vardas5414           Pavarde5414         9                   4                   10                  3                   10                  8                   6                    

Vardas5415           Pavarde5415         10                  1                   2                   3                   1                   2                   4                    

Vardas5416           Pavarde5416         7                   2                   6                   2                   9                   8                   10                   

Vardas5417           Pavarde5417         1                   8                   8                   2                   10                  7                   9                    

Vardas5418           Pavarde5418         2                   4                   10                  2                   1                   10                  6                    

Vardas5419           Pavarde5419         2                   7                   4                   4                   8                   7                   10                   

Vardas5420           Pavarde5420         3                   1                   1                   1                   9                   5                   4                    

Vardas5421           Pavarde5421         8                   2                   6                   10                  3                   9                   9                    

Vardas5422           Pavarde5422         7                   2                   1                   10                  2                   7                   8                    

Vardas5423           Pavarde5423         8                   2                   1                   10                  2                   9                   5                    

Vardas5424           Pavarde5424         6                   3                   8                   1                   1                   1                   8                    

Vardas5425           Pavarde5425         7                   8                   2                   2                   2                   6                   5                    

Vardas5426           Pavarde5426         3                   4                   3                   9                   2                   7                   5                    

Vardas5427           Pavarde5427         5                   4                   5                   7                   10                  2                   5                    

Vardas5428           Pavarde5428         9                   10                  1                   7                   7                   10                  2                    

Vardas5429           Pavarde5429         10                  9                   9                   2                   9                   1                   1                    

Vardas5430           Pavarde5430         5                   10                  9                   10                  2                   3                   6                    

Vardas5431           Pavarde5431         8                   9                   2                   1                   2                   10                  2                    

Vardas5432           Pavarde5432         9                   4                   5                   1                   9                   3                   9                    

Vardas5433           Pavarde5433         8                   1                   5                   6                   7                   4                   3                    

Vardas5434           Pavarde5434         6                   5                   7                   4                   7                   5                   10                   

Vardas5435           Pavarde5435         5                   6                   7                   9                   10                  10                  1                    

Vardas5436           Pavarde5436         2                   10                  7                   5                   10                  1                   2                    

Vardas5437           Pavarde5437         6                   4                   2                   1                   8                   2                   7                    

Vardas5438           Pavarde5438         9                   5                   5                   6                   10                  3                   3                    

Vardas5439           Pavarde5439         4                   5                   7                   5                   5                   2                   5                    

Vardas5440           Pavarde5440         8                   8                   3                   10                  4                   8                   7                    

Vardas5441           Pavarde5441         2                   8                   1                   7                   3                   2                   10                   

Vardas5442           Pavarde5442         1                   6                   4                   10                  4                   4                   7                    

Vardas5443           Pavarde5443         2                   3                   3                   10                  8                   9                   8                    

Vardas5444           Pavarde5444         5                   10                  1                   6                   10                  8                   8                    

Vardas5445           Pavarde5445         6                   9                   1                   5                   4                   1                   7                    

Vardas5446           Pavarde5446         7                   5                   10                  7                   2                   4                   4                    

Vardas5447           Pavarde5447         9                   4                   5                   2                   9                   8                   7                    

Vardas5448           Pavarde5448         6                   1                   10                  7                   10                  9                   7                    

Vardas5449           Pavarde5449         9                   10                  2                   4                   5                   2                   5                    

Vardas5450           Pavarde5450         8                   3                   6                   10                  3                   10                  5                    

Vardas5451           Pavarde5451         9                   3                   3                   6                   6                   5                   7                    

Vardas5452           Pavarde5452         7                   6                   4                   2                   10                  2                   1                    

Vardas5453           Pavarde5453         9                   2                   9                   5                   2                   10                  9                    

Vardas5454           Pavarde5454         5                   9                   4                   8                   2                   9                   2                    

Vardas5455           Pavarde5455         2                   10                  3                   6                   9                   3                   8                    

Vardas5456           Pavarde5456         8                   7                   1                   5                   5                   1                   2                    

Vardas5457           Pavarde5457         5                   8                   3                   6                   1                   5                   10                   

Vardas5458           Pavarde5458         2                   8                   5                   2                   10                  7                   4                    

Vardas5459           Pavarde5459         5                   10                  9                   4                   6                   5                   6                    

Vardas5460           Pavarde5460         6                   2                   7                   1                   9                   4                   1                    

Vardas5461           Pavarde5461         5                   8                   1                   7                   10                  7                   10                   

Vardas5462           Pavarde5462         1                   1                   3                   1                   5                   3                   10                   

Vardas5463           Pavarde5463         2                   8                   4                   10                  6                   4                   3                    

Vardas5464           Pavarde5464         7                   2                   1                   10                  7                   7                   9                    

Vardas5465           Pavarde5465         6                   7                   5                   2                   1                   9                   7                    

Vardas5466           Pavarde5466         10                  5                   5                   1                   10                  5                   5                    

Vardas5467           Pavarde5467         9                   7                   4                   1                   3                   6                   4                    

Vardas5468           Pavarde5468         5                   3                   2                   4                   1                   8                   8                    

Vardas5469           Pavarde5469         6                   10                  8                   3                   1                   1                   5                    

Vardas5470           Pavarde5470         5                   8                   10                  4                   5                   4                   3                    

Vardas5471           Pavarde5471         3                   10                  9                   7                   9                   9                   8                    

Vardas5472           Pavarde5472         6                   8                   9                   5                   1                   5                   2                    

Vardas5473           Pavarde5473         4                   3                   9                   1                   1                   9                   5                    

Vardas5474           Pavarde5474         6                   8                   8                   9                   4                   10                  5                    

Vardas5475           Pavarde5475         9                   4                   7                   9                   2                   2                   2                    

Vardas5476           Pavarde5476         4                   3                   7                   2                   9                   10                  1                    

Vardas5477           Pavarde5477         2                   10                  9                   10                  7                   4                   1                    

Vardas5478           Pavarde5478         5                   1                   4                   4                   5                   8                   8                    

Vardas5479           Pavarde5479         3                   2                   8                   6                   10                  4                   7                    

Vardas5480           Pavarde5480         4                   2                   7                   10                  4                   10                  1                    

Vardas5481           Pavarde5481         1                   3                   10                  2                   10                  4                   4                    

Vardas5482           Pavarde5482         8                   9                   10                  8                   7                   4                   5                    

Vardas5483           Pavarde5483         4                   4                   5                   8                   4                   5                   2                    

Vardas5484           Pavarde5484         2                   9                   6                   10                  7                   4                   8                    

Vardas5485           Pavarde5485         9                   3                   1                   4                   4                   10                  5                    

Vardas5486           Pavarde5486         9                   4                   2                   6                   4                   4                   5                    

Vardas5487           Pavarde5487         3                   9                   9                   3                   10                  3                   1                    

Vardas5488           Pavarde5488         8                   2                   2                   10                  6                   10                  9                    

Vardas5489           Pavarde5489         4                   4                   3                   4                   1                   7                   10                   

Vardas5490           Pavarde5490         7                   9                   5                   4                   5                   10                  5                    

Vardas5491           Pavarde5491         10                  4                   2                   10                  2                   7                   10                   

Vardas5492           Pavarde5492         1                   8                   8                   7                   1                   8                   1                    

Vardas5493           Pavarde5493         1                   9                   4                   9                   1                   7                   6                    

Vardas5494           Pavarde5494         10                  10                  3                   4                   8                   6                   6                    

Vardas5495           Pavarde5495         10                  5                   10                  6                   4                   6                   8                    

Vardas5496           Pavarde5496         8                   1                   10                  4                   4                   10                  3                    

Vardas5497           Pavarde5497         7                   6                   7                   10                  9                   9                   6                    

Vardas5498           Pavarde5498         10                  1                   6                   5                   4                   10                  1                    

Vardas5499           Pavarde5499         5                   9                   7                   5                   2                   4                   1                    

Vardas5500           Pavarde5500         4                   8                   1                   8                   3                   4                   4                    

Vardas5501           Pavarde5501         9                   5                   5                   7                   7                   3                   4                    

Vardas5502           Pavarde5502         4                   6                   4                   9                   7                   1                   10                   

Vardas5503           Pavarde5503         4                   5                   2                   1                   6                   8                   4                    

Vardas5504           Pavarde5504         2                   3                   10                  2                   7                   3                   4                    

Vardas5505           Pavarde5505         8                   6                   3                   7                   6                   3                   2                    
