Vardas               Pavarde              Galutinis (vid.)     Galutinis (med.)    
Vardas52956          Pavarde52956         3.20                 4.10                
Vardas52958          Pavarde52958         2.20                 3.10                
Vardas52959          Pavarde52959         4.75                 6.30                
Vardas52960          Pavarde52960         2.05                 2.80                
Vardas52963          Pavarde52963         1.65                 2.20                
Vardas52964          Pavarde52964         2.85                 3.50                
Vardas52965          Pavarde52965         2.55                 3.40                
Vardas52967          Pavarde52967         4.85                 6.10                
Vardas52968          Pavarde52968         4.05                 4.50                
Vardas52969          Pavarde52969         1.90                 2.20                
Vardas52970          Pavarde52970         3.15                 3.80                
Vardas52975          Pavarde52975         4.80                 5.80                
Vardas52977          Pavarde52977         3.55                 4.50                
Vardas52978          Pavarde52978         1.60                 1.90                
Vardas52979          Pavarde52979         2.75                 4.30                
Vardas52980          Pavarde52980         4.15                 4.60                
Vardas52982          Pavarde52982         2.75                 4.00                
Vardas52984          Pavarde52984         4.90                 5.30                
Vardas52987          Pavarde52987         3.55                 5.00                
Vardas52989          Pavarde52989         2.65                 3.40                
Vardas5299           Pavarde5299          4.25                 4.30                
Vardas52994          Pavarde52994         3.85                 5.30                
Vardas52995          Pavarde52995         2.15                 1.90                
Vardas52997          Pavarde52997         3.40                 3.90                
Vardas52998          Pavarde52998         3.45                 4.20                
Vardas52999          Pavarde52999         4.15                 4.90                
Vardas53002          Pavarde53002         3.15                 4.60                
Vardas53004          Pavarde53004         4.90                 5.30                
Vardas53006          Pavarde53006         2.50                 4.00                
Vardas53011          Pavarde53011         2.60                 4.00                
Vardas53012          Pavarde53012         4.20                 4.90                
Vardas53013          Pavarde53013         3.10                 3.00                
Vardas53018          Pavarde53018         3.85                 5.10                
Vardas53020          Pavarde53020         2.95                 2.90                
Vardas53027          Pavarde53027         3.00                 4.10                
Vardas53028          Pavarde53028         4.10                 4.90                
Vardas53033          Pavarde53033         2.75                 3.50                
Vardas53035          Pavarde53035         4.60                 5.80                
Vardas53037          Pavarde53037         3.40                 4.20                
Vardas53038          Pavarde53038         3.40                 4.10                
Vardas53039          Pavarde53039         3.40                 4.10                
Vardas5304           Pavarde5304          3.50                 3.30                
Vardas53046          Pavarde53046         3.85                 4.80                
Vardas53050          Pavarde53050         3.45                 4.50                
Vardas53052          Pavarde53052         3.15                 4.10                
Vardas53054          Pavarde53054         3.15                 4.10                
Vardas53057          Pavarde53057         4.40                 4.90                
Vardas5306           Pavarde5306          4.05                 4.80                
Vardas53062          Pavarde53062         4.85                 5.30                
Vardas53064          Pavarde53064         5.00                 6.20                
Vardas53067          Pavarde53067         4.40                 6.00                
Vardas5307           Pavarde5307          2.55                 4.30                
Vardas53070          Pavarde53070         3.35                 4.40                
Vardas53072          Pavarde53072         4.50                 5.50                
Vardas53073          Pavarde53073         4.40                 4.90                
Vardas53078          Pavarde53078         4.20                 4.30                
Vardas5308           Pavarde5308          3.35                 4.40                
Vardas53082          Pavarde53082         4.30                 5.70                
Vardas53083          Pavarde53083         3.05                 3.80                
Vardas53084          Pavarde53084         3.20                 4.10                
Vardas53087          Pavarde53087         4.90                 5.60                
Vardas53088          Pavarde53088         2.75                 3.80                
Vardas53089          Pavarde53089         4.05                 5.40                
Vardas5309           Pavarde5309          3.15                 3.80                
Vardas53092          Pavarde53092         3.40                 3.90                
Vardas53093          Pavarde53093         2.50                 3.70                
Vardas53094          Pavarde53094         3.80                 4.80                
Vardas53095          Pavarde53095         2.35                 3.70                
Vardas53096          Pavarde53096         2.80                 3.80                
Vardas53097          Pavarde53097         3.70                 5.30                
Vardas531            Pavarde531           2.80                 4.30                
Vardas5310           Pavarde5310          4.90                 5.00                
Vardas53103          Pavarde53103         2.05                 2.20                
Vardas53106          Pavarde53106         4.45                 5.00                
Vardas53109          Pavarde53109         4.10                 4.60                
Vardas53110          Pavarde53110         3.05                 3.80                
Vardas53111          Pavarde53111         4.40                 5.00                
Vardas53112          Pavarde53112         2.70                 3.70                
Vardas53114          Pavarde53114         2.55                 3.70                
Vardas53116          Pavarde53116         1.95                 2.80                
Vardas5312           Pavarde5312          2.60                 4.30                
Vardas53121          Pavarde53121         3.05                 4.40                
Vardas53122          Pavarde53122         4.70                 5.80                
Vardas53125          Pavarde53125         2.90                 3.30                
Vardas53126          Pavarde53126         3.10                 4.30                
Vardas5313           Pavarde5313          2.60                 3.70                
Vardas53131          Pavarde53131         3.00                 3.00                
Vardas53135          Pavarde53135         3.30                 4.40                
Vardas53137          Pavarde53137         2.15                 2.50                
Vardas53138          Pavarde53138         3.90                 3.70                
Vardas53139          Pavarde53139         2.00                 2.50                
Vardas53142          Pavarde53142         4.30                 4.70                
Vardas53144          Pavarde53144         4.15                 4.90                
Vardas53146          Pavarde53146         3.90                 4.00                
Vardas53148          Pavarde53148         2.50                 2.60                
Vardas53149          Pavarde53149         4.95                 5.90                
Vardas53150          Pavarde53150         3.55                 5.30                
Vardas53151          Pavarde53151         4.45                 5.80                
Vardas53153          Pavarde53153         2.65                 3.70                
Vardas53154          Pavarde53154         3.75                 3.70                
Vardas53160          Pavarde53160         3.90                 5.30                
Vardas53161          Pavarde53161         3.65                 4.20                
Vardas53163          Pavarde53163         4.15                 5.20                
Vardas53164          Pavarde53164         3.00                 4.10                
Vardas53169          Pavarde53169         3.90                 4.50                
Vardas53171          Pavarde53171         4.70                 6.10                
Vardas53173          Pavarde53173         4.25                 4.90                
Vardas53175          Pavarde53175         2.80                 4.00                
Vardas53177          Pavarde53177         2.30                 2.80                
Vardas5318           Pavarde5318          4.20                 4.90                
Vardas53180          Pavarde53180         2.60                 2.60                
Vardas53184          Pavarde53184         4.45                 5.20                
Vardas53186          Pavarde53186         2.75                 4.30                
Vardas53189          Pavarde53189         4.50                 5.50                
Vardas53191          Pavarde53191         2.75                 3.20                
Vardas53194          Pavarde53194         2.45                 3.70                
Vardas5320           Pavarde5320          2.40                 3.70                
Vardas53207          Pavarde53207         3.35                 4.10                
Vardas53214          Pavarde53214         4.10                 4.60                
Vardas53215          Pavarde53215         4.15                 5.70                
Vardas53216          Pavarde53216         2.85                 3.20                
Vardas53217          Pavarde53217         1.75                 1.60                
Vardas53218          Pavarde53218         2.70                 3.50                
Vardas5322           Pavarde5322          3.30                 4.70                
Vardas53224          Pavarde53224         4.35                 5.10                
Vardas53226          Pavarde53226         4.55                 6.00                
Vardas53227          Pavarde53227         2.30                 3.10                
Vardas53228          Pavarde53228         2.90                 4.40                
Vardas53229          Pavarde53229         2.70                 3.20                
Vardas5323           Pavarde5323          3.65                 4.20                
Vardas53230          Pavarde53230         4.70                 5.50                
Vardas53232          Pavarde53232         2.55                 3.20                
Vardas53236          Pavarde53236         2.55                 4.00                
Vardas53237          Pavarde53237         4.95                 6.40                
Vardas53242          Pavarde53242         3.50                 3.90                
Vardas53244          Pavarde53244         2.85                 3.50                
Vardas53247          Pavarde53247         2.70                 2.90                
Vardas53248          Pavarde53248         3.75                 5.60                
Vardas5325           Pavarde5325          2.30                 2.80                
Vardas53254          Pavarde53254         2.20                 3.10                
Vardas5326           Pavarde5326          4.25                 4.60                
Vardas53260          Pavarde53260         4.35                 5.70                
Vardas53262          Pavarde53262         5.00                 6.40                
Vardas53263          Pavarde53263         3.15                 4.40                
Vardas53264          Pavarde53264         3.20                 4.10                
Vardas53267          Pavarde53267         2.45                 3.70                
Vardas53268          Pavarde53268         4.65                 6.00                
Vardas53269          Pavarde53269         2.55                 3.10                
Vardas53271          Pavarde53271         4.25                 5.20                
Vardas53272          Pavarde53272         3.85                 4.60                
Vardas53275          Pavarde53275         3.40                 4.40                
Vardas53276          Pavarde53276         1.95                 1.90                
Vardas53278          Pavarde53278         3.30                 4.40                
Vardas53280          Pavarde53280         3.35                 4.70                
Vardas53282          Pavarde53282         3.30                 3.60                
Vardas53287          Pavarde53287         4.70                 5.50                
Vardas53289          Pavarde53289         3.60                 4.20                
Vardas5329           Pavarde5329          3.50                 5.00                
Vardas53294          Pavarde53294         3.35                 4.40                
Vardas53296          Pavarde53296         4.30                 4.90                
Vardas533            Pavarde533           4.65                 5.00                
Vardas53300          Pavarde53300         4.70                 4.40                
Vardas53302          Pavarde53302         5.00                 5.90                
Vardas53303          Pavarde53303         2.05                 2.80                
Vardas53304          Pavarde53304         4.75                 5.50                
Vardas53308          Pavarde53308         4.45                 4.70                
Vardas53319          Pavarde53319         4.15                 4.90                
Vardas5332           Pavarde5332          3.70                 4.30                
Vardas53321          Pavarde53321         4.10                 5.40                
Vardas53325          Pavarde53325         4.40                 5.20                
Vardas53327          Pavarde53327         2.95                 3.80                
Vardas53328          Pavarde53328         3.00                 3.80                
Vardas5333           Pavarde5333          4.95                 6.40                
Vardas53331          Pavarde53331         3.00                 4.10                
Vardas53335          Pavarde53335         3.50                 3.30                
Vardas53336          Pavarde53336         4.15                 5.10                
Vardas53337          Pavarde53337         2.70                 3.20                
Vardas53338          Pavarde53338         4.70                 4.90                
Vardas53339          Pavarde53339         4.10                 4.30                
Vardas53341          Pavarde53341         4.60                 5.80                
Vardas53345          Pavarde53345         4.15                 4.60                
Vardas53346          Pavarde53346         1.60                 2.20                
Vardas53348          Pavarde53348         2.60                 4.30                
Vardas53349          Pavarde53349         4.20                 4.90                
Vardas5335           Pavarde5335          2.75                 3.80                
Vardas53350          Pavarde53350         4.15                 4.90                
Vardas53352          Pavarde53352         2.60                 3.20                
Vardas53355          Pavarde53355         3.40                 5.00                
Vardas53356          Pavarde53356         2.45                 3.40                
Vardas53359          Pavarde53359         3.45                 4.70                
Vardas5336           Pavarde5336          3.85                 4.80                
Vardas53364          Pavarde53364         3.95                 5.70                
Vardas53365          Pavarde53365         3.40                 3.30                
Vardas53367          Pavarde53367         2.60                 3.70                
Vardas53370          Pavarde53370         3.55                 4.20                
Vardas53371          Pavarde53371         2.90                 4.30                
Vardas53372          Pavarde53372         4.90                 5.60                
Vardas53376          Pavarde53376         2.90                 3.80                
Vardas53381          Pavarde53381         2.80                 3.20                
Vardas53382          Pavarde53382         2.20                 2.20                
Vardas53383          Pavarde53383         4.25                 4.90                
Vardas53384          Pavarde53384         5.00                 6.70                
Vardas53385          Pavarde53385         3.80                 4.20                
Vardas53392          Pavarde53392         2.55                 3.70                
Vardas53393          Pavarde53393         4.65                 6.10                
Vardas53394          Pavarde53394         4.35                 4.90                
Vardas5340           Pavarde5340          2.90                 4.10                
Vardas53400          Pavarde53400         2.35                 3.10                
Vardas53402          Pavarde53402         3.75                 5.10                
Vardas53403          Pavarde53403         2.50                 2.60                
Vardas53404          Pavarde53404         2.65                 3.10                
Vardas53407          Pavarde53407         4.25                 5.20                
Vardas53410          Pavarde53410         4.85                 5.50                
Vardas53414          Pavarde53414         2.25                 3.10                
Vardas53417          Pavarde53417         3.55                 4.50                
Vardas53419          Pavarde53419         3.90                 4.30                
Vardas53422          Pavarde53422         2.75                 3.50                
Vardas53424          Pavarde53424         2.65                 2.90                
Vardas53427          Pavarde53427         3.80                 5.40                
Vardas53433          Pavarde53433         2.90                 3.50                
Vardas53437          Pavarde53437         2.65                 2.90                
Vardas53439          Pavarde53439         2.00                 1.90                
Vardas5344           Pavarde5344          2.50                 3.70                
Vardas53442          Pavarde53442         4.50                 5.20                
Vardas53443          Pavarde53443         3.10                 4.10                
Vardas53445          Pavarde53445         2.20                 3.10                
Vardas53446          Pavarde53446         3.15                 4.10                
Vardas53448          Pavarde53448         3.15                 3.30                
Vardas53454          Pavarde53454         3.15                 3.30                
Vardas53457          Pavarde53457         4.70                 5.00                
Vardas53458          Pavarde53458         4.50                 5.80                
Vardas5346           Pavarde5346          4.95                 6.40                
Vardas53462          Pavarde53462         3.30                 4.10                
Vardas53465          Pavarde53465         4.60                 5.80                
Vardas53469          Pavarde53469         3.90                 4.80                
Vardas5347           Pavarde5347          4.30                 4.30                
Vardas53470          Pavarde53470         2.20                 3.10                
Vardas53472          Pavarde53472         4.85                 5.80                
Vardas53475          Pavarde53475         3.30                 5.30                
Vardas53478          Pavarde53478         3.10                 4.40                
Vardas53479          Pavarde53479         3.85                 5.10                
Vardas53480          Pavarde53480         4.35                 5.20                
Vardas53481          Pavarde53481         2.05                 2.80                
Vardas53484          Pavarde53484         4.85                 6.10                
Vardas53485          Pavarde53485         3.30                 4.60                
Vardas53488          Pavarde53488         1.90                 1.90                
Vardas53489          Pavarde53489         4.05                 5.10                
Vardas5349           Pavarde5349          2.05                 2.80                
Vardas53494          Pavarde53494         3.70                 4.80                
Vardas5350           Pavarde5350          2.30                 3.10                
Vardas53502          Pavarde53502         4.85                 5.30                
Vardas53505          Pavarde53505         2.55                 4.00                
Vardas5351           Pavarde5351          3.20                 4.40                
Vardas53511          Pavarde53511         4.85                 6.10                
Vardas53519          Pavarde53519         4.10                 5.10                
Vardas5352           Pavarde5352          4.95                 6.20                
Vardas53520          Pavarde53520         2.50                 2.60                
Vardas53524          Pavarde53524         3.45                 4.70                
Vardas53527          Pavarde53527         2.80                 3.50                
Vardas53528          Pavarde53528         2.20                 3.40                
Vardas53529          Pavarde53529         4.65                 5.50                
Vardas53530          Pavarde53530         2.65                 3.40                
Vardas53531          Pavarde53531         3.50                 4.20                
Vardas53532          Pavarde53532         4.60                 5.80                
Vardas53534          Pavarde53534         4.25                 4.90                
Vardas53536          Pavarde53536         2.90                 3.50                
Vardas53537          Pavarde53537         2.85                 3.70                
Vardas53538          Pavarde53538         2.90                 4.60                
Vardas53540          Pavarde53540         4.70                 5.30                
Vardas53541          Pavarde53541         2.55                 3.70                
Vardas53542          Pavarde53542         4.25                 4.90                
Vardas53544          Pavarde53544         4.45                 4.70                
Vardas53547          Pavarde53547         5.00                 6.10                
Vardas53550          Pavarde53550         1.95                 2.50                
Vardas53551          Pavarde53551         4.70                 5.30                
Vardas53554          Pavarde53554         4.30                 4.90                
Vardas53556          Pavarde53556         2.10                 2.80                
Vardas53558          Pavarde53558         4.60                 5.50                
Vardas53561          Pavarde53561         2.75                 4.00                
Vardas53564          Pavarde53564         4.20                 4.90                
Vardas53565          Pavarde53565         4.60                 5.20                
Vardas53567          Pavarde53567         4.10                 4.90                
Vardas53569          Pavarde53569         3.70                 4.50                
Vardas5357           Pavarde5357          3.85                 4.80                
Vardas53570          Pavarde53570         3.85                 4.80                
Vardas53571          Pavarde53571         2.60                 2.70                
Vardas53572          Pavarde53572         3.15                 5.00                
Vardas53575          Pavarde53575         3.35                 4.40                
Vardas53576          Pavarde53576         3.60                 5.30                
Vardas53578          Pavarde53578         4.05                 4.90                
Vardas53580          Pavarde53580         4.50                 5.50                
Vardas53583          Pavarde53583         4.25                 6.00                
Vardas53585          Pavarde53585         3.45                 4.40                
Vardas53587          Pavarde53587         4.15                 5.10                
Vardas53589          Pavarde53589         4.50                 5.20                
Vardas53592          Pavarde53592         2.10                 2.80                
Vardas53593          Pavarde53593         4.80                 5.00                
Vardas53594          Pavarde53594         4.15                 5.20                
Vardas53595          Pavarde53595         3.55                 5.00                
Vardas53597          Pavarde53597         4.25                 4.90                
Vardas53608          Pavarde53608         2.65                 2.90                
Vardas5361           Pavarde5361          3.35                 3.90                
Vardas53611          Pavarde53611         3.40                 4.10                
Vardas53613          Pavarde53613         4.00                 5.40                
Vardas53615          Pavarde53615         4.50                 5.80                
Vardas53616          Pavarde53616         2.55                 4.00                
Vardas53617          Pavarde53617         4.10                 5.20                
Vardas5362           Pavarde5362          3.15                 3.80                
Vardas53621          Pavarde53621         3.75                 4.80                
Vardas53622          Pavarde53622         2.70                 2.90                
Vardas53623          Pavarde53623         4.95                 6.40                
Vardas53625          Pavarde53625         4.60                 5.00                
Vardas53626          Pavarde53626         4.00                 4.80                
Vardas53630          Pavarde53630         3.55                 4.80                
Vardas53633          Pavarde53633         2.55                 2.60                
Vardas53635          Pavarde53635         2.50                 3.70                
Vardas53643          Pavarde53643         4.75                 6.10                
Vardas53645          Pavarde53645         2.50                 3.40                
Vardas5365           Pavarde5365          3.30                 5.20                
Vardas53650          Pavarde53650         4.35                 5.80                
Vardas53654          Pavarde53654         2.65                 2.90                
Vardas53656          Pavarde53656         3.10                 4.60                
Vardas53658          Pavarde53658         4.05                 4.90                
Vardas5366           Pavarde5366          3.50                 4.20                
Vardas53661          Pavarde53661         3.55                 4.20                
Vardas53662          Pavarde53662         2.65                 4.30                
Vardas53663          Pavarde53663         4.60                 4.40                
Vardas53669          Pavarde53669         2.75                 3.70                
Vardas5367           Pavarde5367          2.15                 2.80                
Vardas53670          Pavarde53670         2.70                 3.50                
Vardas53671          Pavarde53671         2.90                 3.00                
Vardas53674          Pavarde53674         3.05                 3.50                
Vardas53675          Pavarde53675         3.00                 4.10                
Vardas53677          Pavarde53677         3.10                 3.80                
Vardas5368           Pavarde5368          4.80                 5.30                
Vardas53680          Pavarde53680         4.45                 5.50                
Vardas53683          Pavarde53683         3.05                 3.80                
Vardas53684          Pavarde53684         3.40                 4.20                
Vardas53692          Pavarde53692         3.45                 4.40                
Vardas53698          Pavarde53698         2.65                 4.30                
Vardas537            Pavarde537           5.00                 5.90                
Vardas5370           Pavarde5370          3.25                 4.10                
Vardas53701          Pavarde53701         4.00                 5.10                
Vardas53703          Pavarde53703         1.95                 2.50                
Vardas53704          Pavarde53704         2.05                 3.10                
Vardas53705          Pavarde53705         2.30                 3.40                
Vardas53706          Pavarde53706         4.95                 5.90                
Vardas53707          Pavarde53707         3.95                 5.10                
Vardas53708          Pavarde53708         3.60                 4.50                
Vardas53714          Pavarde53714         2.40                 3.70                
Vardas53715          Pavarde53715         3.45                 4.50                
Vardas53718          Pavarde53718         2.20                 2.50                
Vardas53719          Pavarde53719         1.90                 2.20                
Vardas53722          Pavarde53722         2.25                 2.80                
Vardas53723          Pavarde53723         4.35                 5.50                
Vardas53724          Pavarde53724         3.70                 4.80                
Vardas53726          Pavarde53726         3.60                 4.50                
Vardas5373           Pavarde5373          2.60                 3.70                
Vardas53730          Pavarde53730         3.35                 5.00                
Vardas53731          Pavarde53731         3.55                 4.70                
Vardas53735          Pavarde53735         2.80                 3.50                
Vardas53736          Pavarde53736         3.30                 4.70                
Vardas5374           Pavarde5374          3.60                 3.60                
Vardas53740          Pavarde53740         3.80                 4.30                
Vardas53742          Pavarde53742         2.55                 4.30                
Vardas53745          Pavarde53745         3.95                 4.50                
Vardas53749          Pavarde53749         2.90                 3.20                
Vardas5375           Pavarde5375          1.55                 1.90                
Vardas53756          Pavarde53756         3.40                 4.70                
Vardas53758          Pavarde53758         2.20                 3.40                
Vardas53759          Pavarde53759         2.95                 3.80                
Vardas53760          Pavarde53760         4.90                 6.40                
Vardas53762          Pavarde53762         2.10                 2.00                
Vardas53763          Pavarde53763         3.85                 4.80                
Vardas53764          Pavarde53764         4.15                 4.90                
Vardas53769          Pavarde53769         2.50                 3.50                
Vardas5377           Pavarde5377          4.60                 5.30                
Vardas53773          Pavarde53773         2.65                 3.50                
Vardas53774          Pavarde53774         3.60                 4.50                
Vardas53778          Pavarde53778         3.05                 4.10                
Vardas53779          Pavarde53779         2.15                 3.10                
Vardas5378           Pavarde5378          4.25                 4.00                
Vardas53780          Pavarde53780         2.65                 4.30                
Vardas53782          Pavarde53782         3.90                 4.00                
Vardas53783          Pavarde53783         3.25                 4.10                
Vardas53784          Pavarde53784         3.15                 4.10                
Vardas53785          Pavarde53785         2.50                 3.70                
Vardas53786          Pavarde53786         4.45                 5.20                
Vardas5379           Pavarde5379          2.70                 4.00                
Vardas53790          Pavarde53790         2.80                 3.20                
Vardas53792          Pavarde53792         2.60                 2.90                
Vardas53798          Pavarde53798         4.20                 5.40                
Vardas53799          Pavarde53799         3.00                 4.60                
Vardas538            Pavarde538           3.05                 4.10                
Vardas53800          Pavarde53800         2.10                 2.60                
Vardas53805          Pavarde53805         3.70                 4.20                
Vardas5381           Pavarde5381          2.95                 3.20                
Vardas53811          Pavarde53811         3.65                 4.80                
Vardas53813          Pavarde53813         4.10                 4.90                
Vardas53814          Pavarde53814         2.15                 2.80                
Vardas53815          Pavarde53815         3.35                 4.70                
Vardas53818          Pavarde53818         2.80                 3.50                
Vardas53821          Pavarde53821         4.60                 5.00                
Vardas53825          Pavarde53825         4.05                 4.30                
Vardas53826          Pavarde53826         2.75                 2.90                
Vardas53829          Pavarde53829         3.25                 3.60                
Vardas53831          Pavarde53831         3.80                 4.50                
Vardas53833          Pavarde53833         2.35                 3.10                
Vardas53835          Pavarde53835         2.80                 3.20                
Vardas5384           Pavarde5384          2.00                 2.50                
Vardas53840          Pavarde53840         4.85                 6.10                
Vardas53842          Pavarde53842         3.15                 4.60                
Vardas53843          Pavarde53843         3.60                 4.20                
Vardas53844          Pavarde53844         4.75                 5.30                
Vardas53845          Pavarde53845         2.35                 3.10                
Vardas53846          Pavarde53846         2.20                 3.10                
Vardas53848          Pavarde53848         2.95                 3.20                
Vardas5385           Pavarde5385          2.95                 3.80                
Vardas53850          Pavarde53850         3.15                 3.30                
Vardas53851          Pavarde53851         4.90                 5.60                
Vardas53852          Pavarde53852         4.40                 5.20                
Vardas53853          Pavarde53853         2.15                 2.80                
Vardas53856          Pavarde53856         3.85                 4.80                
Vardas53857          Pavarde53857         4.05                 4.80                
Vardas53859          Pavarde53859         4.10                 5.40                
Vardas53861          Pavarde53861         4.10                 5.10                
Vardas53862          Pavarde53862         3.25                 4.70                
Vardas53864          Pavarde53864         4.95                 5.00                
Vardas53866          Pavarde53866         4.75                 6.10                
Vardas5387           Pavarde5387          3.35                 4.40                
Vardas53870          Pavarde53870         1.95                 2.80                
Vardas53871          Pavarde53871         4.10                 4.30                
Vardas53879          Pavarde53879         2.65                 3.70                
Vardas53884          Pavarde53884         4.65                 5.80                
Vardas53888          Pavarde53888         3.00                 3.50                
Vardas53890          Pavarde53890         3.90                 5.30                
Vardas53892          Pavarde53892         3.95                 4.00                
Vardas53893          Pavarde53893         2.40                 3.40                
Vardas53894          Pavarde53894         3.10                 3.50                
Vardas53895          Pavarde53895         2.05                 2.50                
Vardas53898          Pavarde53898         3.15                 3.60                
Vardas53899          Pavarde53899         2.35                 3.40                
Vardas539            Pavarde539           3.20                 4.40                
Vardas53901          Pavarde53901         4.25                 5.20                
Vardas53902          Pavarde53902         4.25                 4.60                
Vardas53905          Pavarde53905         3.85                 5.10                
Vardas53906          Pavarde53906         3.55                 5.00                
Vardas5391           Pavarde5391          2.60                 3.40                
Vardas53910          Pavarde53910         4.05                 5.40                
Vardas53911          Pavarde53911         2.75                 3.50                
Vardas53914          Pavarde53914         4.60                 6.10                
Vardas53915          Pavarde53915         2.60                 2.90                
Vardas53918          Pavarde53918         3.30                 3.30                
Vardas5392           Pavarde5392          2.95                 3.50                
Vardas53920          Pavarde53920         2.65                 3.20                
Vardas53921          Pavarde53921         4.30                 5.50                
Vardas53923          Pavarde53923         4.20                 5.20                
Vardas53925          Pavarde53925         3.05                 4.30                
Vardas53927          Pavarde53927         2.65                 2.90                
Vardas53928          Pavarde53928         2.55                 3.70                
Vardas53929          Pavarde53929         3.15                 2.70                
Vardas53930          Pavarde53930         2.50                 3.40                
Vardas53932          Pavarde53932         4.10                 5.70                
Vardas53933          Pavarde53933         2.70                 3.20                
Vardas53936          Pavarde53936         2.05                 2.80                
Vardas53937          Pavarde53937         4.65                 4.40                
Vardas53939          Pavarde53939         3.15                 4.60                
Vardas5394           Pavarde5394          3.15                 4.40                
Vardas53942          Pavarde53942         3.50                 4.70                
Vardas53944          Pavarde53944         2.80                 4.00                
Vardas53949          Pavarde53949         4.75                 5.00                
Vardas53950          Pavarde53950         4.55                 6.00                
Vardas53951          Pavarde53951         3.55                 3.60                
Vardas53952          Pavarde53952         4.95                 5.60                
Vardas53956          Pavarde53956         2.05                 2.80                
Vardas53957          Pavarde53957         3.25                 4.40                
Vardas53959          Pavarde53959         3.05                 3.80                
Vardas5396           Pavarde5396          4.45                 5.00                
Vardas53962          Pavarde53962         2.75                 4.60                
Vardas53963          Pavarde53963         3.85                 4.50                
Vardas53965          Pavarde53965         2.85                 4.00                
Vardas53968          Pavarde53968         3.15                 4.10                
Vardas53969          Pavarde53969         4.90                 6.10                
Vardas53974          Pavarde53974         4.35                 5.40                
Vardas53975          Pavarde53975         3.20                 3.50                
Vardas53976          Pavarde53976         2.00                 2.50                
Vardas53977          Pavarde53977         3.85                 5.10                
Vardas5398           Pavarde5398          2.10                 2.20                
Vardas53981          Pavarde53981         3.80                 3.70                
Vardas53982          Pavarde53982         2.40                 3.40                
Vardas53983          Pavarde53983         3.80                 5.10                
Vardas53986          Pavarde53986         3.50                 3.90                
Vardas53987          Pavarde53987         2.25                 3.10                
Vardas53988          Pavarde53988         2.95                 4.10                
Vardas53991          Pavarde53991         4.20                 6.00                
Vardas53993          Pavarde53993         2.75                 3.20                
Vardas53994          Pavarde53994         3.80                 4.80                
Vardas53996          Pavarde53996         4.55                 4.70                
Vardas54             Pavarde54            2.65                 4.00                
Vardas540            Pavarde540           4.40                 5.50                
Vardas5400           Pavarde5400          4.30                 5.70                
Vardas54000          Pavarde54000         2.20                 2.80                
Vardas54002          Pavarde54002         3.60                 4.20                
Vardas54004          Pavarde54004         4.90                 5.30                
Vardas54009          Pavarde54009         3.10                 3.80                
Vardas54010          Pavarde54010         2.40                 3.70                
Vardas54011          Pavarde54011         1.95                 2.20                
Vardas54014          Pavarde54014         4.35                 4.40                
Vardas54015          Pavarde54015         3.95                 4.80                
Vardas54018          Pavarde54018         4.20                 4.90                
Vardas54019          Pavarde54019         4.55                 5.50                
Vardas5402           Pavarde5402          5.00                 5.30                
Vardas54020          Pavarde54020         4.35                 6.30                
Vardas54024          Pavarde54024         2.35                 3.70                
Vardas54030          Pavarde54030         2.10                 2.20                
Vardas54033          Pavarde54033         3.35                 5.00                
Vardas54036          Pavarde54036         3.15                 3.60                
Vardas54041          Pavarde54041         4.30                 4.90                
Vardas54043          Pavarde54043         3.60                 4.50                
Vardas54044          Pavarde54044         4.20                 4.60                
Vardas54045          Pavarde54045         3.65                 5.30                
Vardas54046          Pavarde54046         4.05                 4.30                
Vardas54047          Pavarde54047         3.85                 4.80                
Vardas54048          Pavarde54048         3.20                 3.80                
Vardas54049          Pavarde54049         2.85                 3.80                
Vardas54053          Pavarde54053         4.55                 6.10                
Vardas54056          Pavarde54056         4.55                 5.20                
Vardas54057          Pavarde54057         3.35                 3.90                
Vardas54059          Pavarde54059         4.55                 5.50                
Vardas5406           Pavarde5406          3.70                 5.00                
